0.6563	6.7629
1.3125	13.4458
1.9688	20.1189
2.6250	26.7265
3.2813	33.1822
3.9375	39.5294
4.5938	45.8045
5.2500	52.0300
5.9063	58.2339
6.5625	64.4140
6.5625	64.4140
5.2500	51.5605
3.9375	38.7124
2.6250	25.8702
1.3125	13.0327
0.0000	-0.0133
-1.3125	-13.4394
-2.6250	-26.7210
-3.9375	-39.5180
-5.2500	-51.9928
-6.5625	-64.3714
-6.5625	-64.3714
-5.2500	-51.5235
-3.9375	-38.6815
-2.6250	-25.8466
-1.3125	-13.0189
0.0000	-0.0006
1.3125	13.0275
2.6250	25.8617
3.9375	38.7019
5.2500	51.5471
6.5625	64.3625
6.5625	64.3625
5.2500	51.5167
3.9375	38.6768
2.6250	25.8438
1.3125	13.0173
0.0000	-0.0047
-1.3125	-13.0256
-2.6250	-25.8548
-3.9375	-38.6909
-5.2500	-51.5319
-6.5625	-64.3678
-6.5625	-64.3678
-5.2500	-51.5210
-3.9375	-38.6800
-2.6250	-25.8460
-1.3125	-13.0192
0.0000	-0.0008
1.3125	13.0232
2.6250	25.8512
3.9375	38.6855
5.2500	51.5247
6.5625	64.3614
6.5625	64.3614
5.2500	51.5158
3.9375	38.6760
2.6250	25.8432
1.3125	13.0169
0.0000	-0.0047
-1.3125	-13.0250
-2.6250	-25.8535
-3.9375	-38.6888
-5.2500	-51.5291
-6.5625	-64.3676
-6.5625	-64.3676
-5.2500	-51.5207
-3.9375	-38.6798
-2.6250	-25.8459
-1.3125	-13.0191
0.0000	-0.0008
1.3125	13.0230
2.6250	25.8508
3.9375	38.6850
5.2500	51.5242
6.5625	64.3612
6.5625	64.3612
5.2500	51.5156
3.9375	38.6758
2.6250	25.8431
1.3125	13.0168
0.0000	-0.0047
-1.3125	-13.0249
-2.6250	-25.8533
-3.9375	-38.6886
-5.2500	-51.5288
-6.5625	-64.3673
-6.5625	-64.3673
-5.2500	-51.5205
-3.9375	-38.6796
-2.6250	-25.8457
-1.3125	-13.0190
0.0000	-0.0008
1.3125	13.0229
2.6250	25.8507
3.9375	38.6848
5.2500	51.5240
6.5625	64.3609
6.5625	64.3609
5.2500	51.5154
3.9375	38.6757
2.6250	25.8429
1.3125	13.0168
0.0000	-0.0047
-1.3125	-13.0248
-2.6250	-25.8532
-3.9375	-38.6884
-5.2500	-51.5286
-6.5625	-64.3671
-6.5625	-64.3671
-5.2500	-51.5203
-3.9375	-38.6795
-2.6250	-25.8456
-1.3125	-13.0189
0.0000	-0.0008
1.3125	13.0228
2.6250	25.8506
3.9375	38.6847
5.2500	51.5238
